Module	Section	Sample Name	Source
FastQC	all_sections	SRR8668774	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668774_fastqc.zip
FastQC	all_sections	SRR8668755	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668755_fastqc.zip
FastQC	all_sections	SRR8668758	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668758_fastqc.zip
FastQC	all_sections	SRR8668773	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668773_fastqc.zip
FastQC	all_sections	SRR8668769	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668769_fastqc.zip
FastQC	all_sections	SRR8668756	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668756_fastqc.zip
FastQC	all_sections	SRR8668759	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668759_fastqc.zip
FastQC	all_sections	SRR8668772	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/SRR8668772_fastqc.zip
FastQC	all_sections	fastq_subsampled | SRR8668774_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668774_10K_subsample_fastqc.zip
FastQC	all_sections	fastq_subsampled | SRR8668759_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668759_10K_subsample_fastqc.zip
FastQC	all_sections	fastq_subsampled | SRR8668755_10K_subsample	/Users/abhatnagar/Library/CloudStorage/Dropbox-HELLERLAB/Akanksha Bhatnagar/Mac/Desktop/DIYfiles/fastq_subsampled/SRR8668755_10K_subsample_fastqc.zip
